epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
99,0.05079029,1.162357,0.459558,0.796794,0.887600,62.40
100,0.05000500,1.132149,0.500467,0.740943,0.899000,63.04
101,0.04921971,1.095988,0.425815,0.806330,0.886600,63.68
102,0.04843462,1.158719,0.460337,0.754920,0.899800,64.32
103,0.04764991,1.122697,0.450677,0.832186,0.881200,64.95
104,0.04686579,1.154544,0.482528,0.792370,0.888000,65.59
105,0.04608244,1.135097,0.442285,0.772316,0.893600,66.22
106,0.04530005,1.135748,0.481838,0.762299,0.896400,66.83
107,0.04451883,1.142328,0.499777,0.763072,0.906600,67.46
108,0.04373896,1.140898,0.479144,0.811398,0.893600,68.10
109,0.04296064,1.133626,0.458289,0.797384,0.897200,68.73
110,0.04218406,1.144277,0.462006,0.727441,0.917200,69.36
111,0.04140940,1.101332,0.486178,0.743677,0.910000,69.99
112,0.04063687,1.098137,0.478321,0.780900,0.886600,70.62
113,0.03986665,1.086470,0.473624,0.732837,0.914800,71.25
114,0.03909893,1.091571,0.485889,0.744749,0.913400,71.88
115,0.03833390,1.108836,0.443843,0.787714,0.887600,72.51
116,0.03757175,1.069579,0.489071,0.718741,0.909800,73.14
117,0.03681267,1.066505,0.443933,0.739388,0.905600,73.76
118,0.03605684,1.098648,0.458778,0.798550,0.908000,74.39
119,0.03530445,1.088546,0.446158,0.710149,0.918200,75.02
120,0.03455570,1.077110,0.509304,0.760638,0.894200,75.65
121,0.03381075,1.080344,0.471644,0.738174,0.920800,76.27
122,0.03306980,1.087190,0.443843,0.779501,0.902800,76.91
123,0.03233303,1.083605,0.467437,0.718023,0.921400,77.53
124,0.03160061,1.066266,0.457599,0.763831,0.908800,78.17
125,0.03087274,1.070278,0.467348,0.770087,0.903200,78.80
126,0.03014959,1.105377,0.431067,0.709665,0.920800,79.41
127,0.02943134,1.056407,0.449786,0.742817,0.914400,80.01
128,0.02871816,1.036089,0.458400,0.704372,0.924200,80.64
129,0.02801024,1.035776,0.467014,0.710111,0.922800,81.27
130,0.02730774,1.019903,0.469062,0.729536,0.918000,81.92
131,0.02661085,1.067004,0.523838,0.712661,0.921200,82.55
132,0.02591973,1.078436,0.485243,0.743200,0.921800,83.16
133,0.02523454,1.063952,0.490852,0.698677,0.928000,83.78
134,0.02455547,1.031998,0.469885,0.724541,0.933200,84.41
135,0.02388268,1.049853,0.468327,0.699482,0.922000,85.04
136,0.02321634,1.077689,0.499688,0.702915,0.921000,85.65
137,0.02255660,1.023335,0.492388,0.684595,0.930800,86.29
138,0.02190364,1.042700,0.476251,0.688795,0.932400,86.92
139,0.02125761,1.054936,0.505297,0.732719,0.934200,87.53
140,0.02061868,1.072956,0.476384,0.725364,0.930400,88.16
141,0.01998699,1.035788,0.503762,0.681132,0.930400,88.79
142,0.01936271,1.037034,0.480302,0.683066,0.934600,89.42
143,0.01874599,1.033611,0.480814,0.668801,0.933800,90.04
144,0.01813699,1.039793,0.513889,0.668194,0.942000,90.67
145,0.01753584,1.011012,0.462295,0.704067,0.930600,91.30
146,0.01694271,0.992247,0.497396,0.656635,0.938200,91.92
147,0.01635774,1.047603,0.479901,0.731593,0.936800,92.53
148,0.01578107,0.992838,0.537571,0.678660,0.931200,93.14
149,0.01521284,1.003349,0.473713,0.687597,0.937800,93.78
150,0.01465320,1.033494,0.505409,0.695833,0.933200,94.42
151,0.01410228,1.003367,0.512932,0.677357,0.940400,95.05
152,0.01356021,0.965827,0.479367,0.672532,0.936800,95.69
153,0.01302714,1.001285,0.500534,0.691093,0.942400,96.33
154,0.01250320,0.981615,0.499355,0.670291,0.944400,96.96
155,0.01198850,0.973611,0.493634,0.676466,0.945600,97.59
156,0.01148319,0.961798,0.496127,0.666940,0.944600,98.23
157,0.01098738,0.971668,0.521679,0.666213,0.947200,98.84
158,0.01050120,0.953724,0.504095,0.676345,0.941200,99.47
159,0.01002477,1.002125,0.490407,0.678055,0.948000,100.09
160,0.00955820,0.983299,0.498798,0.701385,0.946400,100.73
161,0.00910160,0.977682,0.530805,0.698457,0.943000,101.36
162,0.00865511,0.980724,0.522903,0.692039,0.947600,101.99
163,0.00821881,0.940927,0.508124,0.626671,0.948800,102.64
164,0.00779283,0.976377,0.507568,0.683334,0.943600,103.27
165,0.00737725,0.941101,0.496661,0.636210,0.953200,103.90
166,0.00697220,0.940889,0.494235,0.650461,0.949600,104.54
167,0.00657777,0.942895,0.501157,0.665047,0.950200,105.18
168,0.00619405,0.933295,0.465077,0.675897,0.953200,105.82
169,0.00582114,0.966080,0.508502,0.632793,0.955600,106.45
170,0.00545913,0.960645,0.512620,0.662492,0.954200,107.07
171,0.00510811,0.934902,0.490051,0.622368,0.953200,107.70
172,0.00476817,0.935448,0.530538,0.637430,0.950600,108.33
173,0.00443939,0.903609,0.521679,0.622154,0.957800,108.95
174,0.00412186,0.926340,0.532096,0.649415,0.956600,109.60
175,0.00381564,0.909132,0.531272,0.630986,0.959000,110.24
176,0.00352082,0.915272,0.489939,0.655074,0.956800,110.87
177,0.00323748,0.923683,0.498153,0.655064,0.958200,111.51
178,0.00296567,0.917270,0.541400,0.640539,0.957400,112.15
179,0.00270546,0.937980,0.529113,0.608265,0.960400,112.78
180,0.00245693,0.907851,0.526865,0.614602,0.958400,113.41
181,0.00222013,0.917547,0.509905,0.665632,0.957000,114.02
182,0.00199512,0.891275,0.499288,0.641722,0.961000,114.65
183,0.00178195,0.918034,0.506700,0.631306,0.960800,115.28
184,0.00158068,0.911634,0.540064,0.654608,0.957200,115.92
185,0.00139137,0.929433,0.496595,0.651721,0.961400,116.56
