epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
99,0.05079029,1.152648,0.460515,0.796091,0.890600,62.31
100,0.05000500,1.124190,0.501068,0.754896,0.898400,62.93
101,0.04921971,1.084535,0.426594,0.771317,0.896200,63.55
102,0.04843462,1.150553,0.460470,0.762819,0.906000,64.17
103,0.04764991,1.114798,0.452101,0.771879,0.904000,64.81
104,0.04686579,1.146901,0.482995,0.753600,0.909200,65.43
105,0.04608244,1.129165,0.442063,0.736769,0.912800,66.07
106,0.04530005,1.127706,0.486044,0.750665,0.901400,66.70
107,0.04451883,1.136866,0.500423,0.745147,0.913200,67.33
108,0.04373896,1.130926,0.480858,0.782757,0.896800,67.95
109,0.04296064,1.128404,0.459980,0.781584,0.902400,68.57
110,0.04218406,1.142516,0.460515,0.746063,0.905400,69.21
111,0.04140940,1.095671,0.486601,0.728512,0.910800,69.84
112,0.04063687,1.089969,0.479879,0.719283,0.907800,70.46
113,0.03986665,1.080422,0.474715,0.721054,0.913800,71.10
114,0.03909893,1.087656,0.488849,0.750265,0.903000,71.73
115,0.03833390,1.102084,0.447049,0.748591,0.903000,72.36
116,0.03757175,1.066868,0.489116,0.721807,0.912800,73.00
117,0.03681267,1.064284,0.444756,0.737566,0.906400,73.64
118,0.03605684,1.095195,0.459157,0.781503,0.910200,74.27
119,0.03530445,1.082782,0.447472,0.720901,0.911400,74.90
120,0.03455570,1.075407,0.508836,0.705172,0.915200,75.55
121,0.03381075,1.078613,0.473847,0.730915,0.920400,76.17
122,0.03306980,1.083764,0.443665,0.740402,0.911000,76.78
123,0.03233303,1.080811,0.468283,0.705544,0.921200,77.41
124,0.03160061,1.061749,0.458356,0.723552,0.921800,78.05
125,0.03087274,1.064943,0.468461,0.742345,0.916800,78.70
126,0.03014959,1.101065,0.430556,0.704836,0.924000,79.34
127,0.02943134,1.056658,0.450231,0.715404,0.920600,79.97
128,0.02871816,1.033296,0.458066,0.711063,0.922800,80.59
129,0.02801024,1.036412,0.466213,0.711689,0.920600,81.22
130,0.02730774,1.017931,0.469885,0.720057,0.920200,81.85
131,0.02661085,1.063800,0.523972,0.706755,0.924400,82.49
132,0.02591973,1.076972,0.484776,0.722176,0.924600,83.12
133,0.02523454,1.060410,0.488248,0.693709,0.929200,83.75
134,0.02455547,1.034796,0.468171,0.708553,0.925200,84.35
135,0.02388268,1.048506,0.467081,0.687310,0.928600,84.99
136,0.02321634,1.074166,0.498442,0.701246,0.921200,85.63
137,0.02255660,1.022671,0.491431,0.695227,0.930400,86.26
138,0.02190364,1.042288,0.476140,0.704345,0.925200,86.89
139,0.02125761,1.057049,0.503494,0.726608,0.924800,87.53
140,0.02061868,1.076812,0.475027,0.704617,0.928000,88.16
141,0.01998699,1.039503,0.505030,0.683936,0.930200,88.78
142,0.01936271,1.034182,0.481059,0.691627,0.929800,89.38
143,0.01874599,1.033549,0.478165,0.683423,0.924600,90.00
144,0.01813699,1.043036,0.513266,0.677902,0.939400,90.60
145,0.01753584,1.016537,0.462763,0.688696,0.929000,91.23
146,0.01694271,0.999700,0.494013,0.678688,0.930400,91.88
147,0.01635774,1.046972,0.478788,0.720871,0.934600,92.52
148,0.01578107,0.996420,0.538462,0.668237,0.934600,93.15
149,0.01521284,1.007841,0.474559,0.678721,0.935400,93.77
150,0.01465320,1.036659,0.505854,0.686273,0.939600,94.41
151,0.01410228,1.009208,0.511351,0.674306,0.940800,95.03
152,0.01356021,0.973395,0.478054,0.677615,0.939200,95.67
153,0.01302714,1.006664,0.499132,0.678997,0.942800,96.31
154,0.01250320,0.983191,0.498642,0.664782,0.944200,96.94
155,0.01198850,0.980635,0.491052,0.667649,0.945200,97.58
156,0.01148319,0.970505,0.494035,0.664014,0.945600,98.21
157,0.01098738,0.979483,0.518229,0.664627,0.945200,98.86
158,0.01050120,0.960994,0.503628,0.653850,0.947200,99.50
159,0.01002477,1.006654,0.489071,0.668071,0.948200,100.11
160,0.00955820,0.991757,0.494124,0.714691,0.942400,100.72
161,0.00910160,0.986723,0.527422,0.687146,0.946400,101.35
162,0.00865511,0.990014,0.520232,0.678116,0.944600,101.98
163,0.00821881,0.952456,0.506054,0.630965,0.946800,102.59
164,0.00779283,0.985198,0.505876,0.667864,0.947600,103.22
165,0.00737725,0.951414,0.495660,0.640924,0.949600,103.85
166,0.00697220,0.951112,0.490897,0.641392,0.948000,104.49
167,0.00657777,0.955091,0.497841,0.662190,0.950400,105.11
168,0.00619405,0.942697,0.462317,0.669432,0.946200,105.75
169,0.00582114,0.979034,0.505431,0.631727,0.953800,106.38
170,0.00545913,0.969840,0.509526,0.664801,0.951000,107.02
171,0.00510811,0.946124,0.486378,0.629903,0.952800,107.64
172,0.00476817,0.948542,0.526687,0.641118,0.954200,108.29
173,0.00443939,0.918793,0.518763,0.625799,0.956800,108.91
174,0.00412186,0.938331,0.527199,0.647119,0.954400,109.51
175,0.00381564,0.921625,0.527177,0.637971,0.956600,110.15
176,0.00352082,0.929283,0.486067,0.648701,0.953800,110.79
177,0.00323748,0.936843,0.494257,0.640696,0.956200,111.41
178,0.00296567,0.930892,0.538083,0.641379,0.955200,112.05
179,0.00270546,0.952536,0.524350,0.605853,0.956800,112.68
180,0.00245693,0.921444,0.522302,0.625775,0.957600,113.30
181,0.00222013,0.929808,0.506032,0.638840,0.957200,113.91
182,0.00199512,0.908584,0.494525,0.632786,0.957200,114.55
183,0.00178195,0.932582,0.504029,0.624833,0.961000,115.19
184,0.00158068,0.926476,0.536124,0.649724,0.958200,115.82
185,0.00139137,0.943168,0.492076,0.634277,0.958000,116.45
186,0.00121404,0.894628,0.532808,0.640526,0.957600,117.09
187,0.00104876,0.909786,0.489650,0.635614,0.959800,117.71
188,0.00089555,0.913394,0.538996,0.639287,0.961000,118.31
189,0.00075446,0.918904,0.498264,0.653978,0.958600,118.95
190,0.00062552,0.902341,0.525953,0.618367,0.961600,119.59
191,0.00050877,0.930067,0.503072,0.614398,0.962000,120.19
192,0.00040423,0.912581,0.517027,0.631312,0.961000,120.84
193,0.00031192,0.925870,0.520678,0.634580,0.958800,121.47
194,0.00023188,0.919692,0.482928,0.634368,0.960800,122.10
195,0.00016412,0.882614,0.514334,0.596538,0.959600,122.73
196,0.00010865,0.917909,0.524372,0.598850,0.960600,123.36
197,0.00006550,0.899351,0.493723,0.625144,0.961000,123.99
198,0.00003467,0.913137,0.499466,0.602752,0.961200,124.62
199,0.00001617,0.904023,0.519387,0.626052,0.960200,125.25
200,0.00001000,0.927252,0.524194,0.613644,0.960400,125.87
