global_step,epoch,loss,grad_norm
0,1,2.37754440,13.14678383
1,1,2.94130898,10.89705563
2,1,3.12546015,9.51124668
3,1,2.32775116,6.67422342
4,1,2.39689255,5.82261753
5,1,2.53017616,7.53339338
6,1,2.26937103,4.26062059
7,1,2.19106293,3.52950692
8,1,2.21763611,4.23579502
9,1,2.08007812,2.55650258
10,1,2.14771652,3.56708264
11,1,2.05894470,2.94522548
12,1,2.18301201,4.09451199
13,1,1.94837570,2.49617362
14,1,2.07935333,4.98678684
15,1,2.02416134,3.22647262
16,1,2.01395965,3.80788684
17,1,1.94446850,2.28845954
18,1,1.99182320,2.28115010
19,1,2.02089500,3.75967455
20,1,1.87907219,2.55841660
21,1,1.96768570,2.59591246
22,1,1.98662949,3.38619709
23,1,1.89589119,2.26788855
24,1,1.91141129,1.95090294
25,1,1.85601044,2.37941885
26,1,2.00123596,2.02658868
27,1,1.95059013,2.35888553
28,1,1.83760262,2.91753006
29,1,1.87661743,2.87419271
30,1,1.84653664,2.13890004
31,1,1.97164536,2.29850841
32,1,2.02466965,2.83124089
33,1,1.81030273,2.62320161
34,1,1.85028839,2.23503923
35,1,1.82033157,1.47114444
36,1,1.79568481,1.85763431
37,1,1.83832741,2.21735454
38,1,1.85595131,2.61081791
39,1,1.85024261,2.82981133
40,1,1.79191017,2.17181826
41,1,1.81628799,2.44439673
42,1,1.92764854,2.61130929
43,1,1.81655312,2.96215034
44,1,1.93831062,2.77334547
45,1,1.75748062,2.54082179
46,1,1.88598728,3.62149954
47,1,1.67153740,2.29868913
48,1,1.87604904,2.30272126
49,1,1.76335907,2.78998280
50,1,1.74343491,1.94003022
51,1,1.68466568,2.49127555
52,1,1.69369698,2.66618705
53,1,1.75166988,2.53978992
54,1,1.78211975,2.62921596
55,1,1.65242004,2.50767636
56,1,1.69929886,1.98723900
57,1,1.58618450,2.39809942
58,1,1.83590937,3.47704864
59,1,1.75163317,2.26272345
60,1,1.79114676,2.92921448
61,1,1.71813583,3.07348323
62,1,1.84585571,3.33279943
63,1,1.90862846,3.86715961
64,1,1.67784500,2.59490275
65,1,1.85581017,3.69018149
66,1,1.76500130,3.20090318
67,1,1.66043663,1.67840195
68,1,1.81735229,1.87732136
69,1,1.66312695,2.78534245
70,1,1.65441132,2.53749275
71,1,1.69049454,2.64115334
72,1,1.73452568,2.01640248
73,1,1.75895500,1.89783990
74,1,1.88680840,3.55699539
75,1,1.73652267,2.59980941
76,1,1.68332863,2.52083659
77,1,1.61697769,2.88345718
78,1,1.64717960,2.12867427
79,1,1.81518555,2.78853917
80,1,1.69246387,2.34581375
81,1,1.69800949,2.20189404
82,1,1.72015953,2.64485741
83,1,1.69136143,2.83194208
84,1,1.65772820,2.30597329
85,1,1.67043209,2.45056891
86,1,1.67860270,2.96425772
87,1,1.66028166,2.60508180
88,1,1.62976456,2.62748790
89,1,1.64309597,2.62639546
90,1,1.71872997,2.69980216
91,1,1.65254211,2.59160900
92,1,1.60826683,2.33169055
93,1,1.82504082,3.51615667
94,1,1.67771626,2.46560216
95,1,1.77443886,3.28316784
96,1,1.67943382,2.46076870
97,1,1.60415268,2.10443735
98,1,1.60202789,1.81769896
99,1,1.72255325,2.25518751
100,1,1.66267014,2.02164364
101,1,1.58984947,2.32781601
102,1,1.59891129,2.48538446
103,1,1.66834831,1.65741742
104,1,1.68082809,2.95705104
105,1,1.63638973,3.40590763
106,1,1.56075573,2.57651901
107,1,1.68832493,3.26689100
108,1,1.58033466,2.35332417
109,1,1.48210144,3.86026740
110,1,1.47373581,2.08904028
111,1,1.57865977,2.06834769
112,1,1.63047123,2.45360017
113,1,1.59132099,2.98898864
114,1,1.62630033,2.55276227
115,1,1.76216412,2.52000976
116,1,1.73307800,3.95929527
117,1,1.41402531,2.90064073
118,1,1.50937080,1.96760082
119,1,1.59298706,2.44871330
120,1,1.60532570,2.94281602
121,1,1.54096985,2.02817559
122,1,1.64722252,2.57074690
123,1,1.55146313,2.53267121
124,1,1.58523846,2.29746938
125,1,1.64828110,2.41026759
126,1,1.46645832,2.41650939
127,1,1.60399103,2.80443764
128,1,1.53152895,2.15209484
129,1,1.47872829,3.18754721
130,1,1.59750223,3.34760380
131,1,1.51501274,2.27349806
132,1,1.53660679,3.58938694
133,1,1.66599655,4.71633196
134,1,1.68071365,3.20502782
135,1,1.47142529,2.65843749
136,1,1.64236712,3.83843637
137,1,1.60665083,2.94966817
138,1,1.51553941,2.56839824
139,1,1.52760816,2.79008508
140,1,1.60132623,2.54965019
141,1,1.63418293,3.04253316
142,1,1.58212471,2.81892204
143,1,1.46458721,2.61596894
144,1,1.57673359,2.98348689
145,1,1.51232576,2.60801625
146,1,1.58824825,2.84961915
147,1,1.40477419,2.07517481
148,1,1.50718617,3.38101816
149,1,1.61801672,2.95331883
150,1,1.74161148,4.53232241
151,1,1.50072289,2.11414838
152,1,1.50665331,3.64884996
153,1,1.63770819,3.62204456
154,1,1.55595446,3.24384642
155,1,1.49114323,2.39912462
156,1,1.46538353,2.68417215
157,1,1.54718113,3.08484888
158,1,1.63723993,3.49908686
159,1,1.57161236,4.00192690
160,1,1.50729179,2.92172933
161,1,1.31400633,2.63630009
162,1,1.40169561,3.59134555
163,1,1.45145845,3.23721671
164,1,1.42019463,2.64215684
165,1,1.62489653,2.83599377
166,1,1.41258764,3.51012778
167,1,1.51840973,2.82521629
168,1,1.40302849,2.89499688
169,1,1.53588927,3.84847951
170,1,1.27696037,2.64740133
171,1,1.66225147,2.71554542
172,1,1.60612249,4.61028814
173,1,1.32646656,2.93751907
174,1,1.37597322,3.18484831
175,1,1.46233892,3.30189967
176,1,1.33494353,3.96553421
177,1,1.39217985,3.18371463
178,1,1.52443957,3.01683450
179,1,1.56405759,3.17766261
180,1,1.50570595,3.61805391
181,1,1.43580925,2.44583297
182,1,1.41926718,2.37066865
183,1,1.47213006,2.29487252
184,1,1.39184463,2.90628076
185,1,1.34881914,2.74557495
186,1,1.54737830,3.69433904
187,1,1.54640675,2.62102509
188,1,1.36623478,3.07068038
189,1,1.38450027,2.91894007
190,1,1.34545398,3.95133233
191,1,1.37593889,3.01239920
192,1,1.53552246,2.78091645
193,1,1.40255404,3.02584648
194,1,1.68782711,5.26458788
195,1,1.27153730,3.03589058
196,1,1.36279416,2.11254668
197,1,1.29251349,3.62751937
198,1,1.24590349,3.75005674
199,1,1.37879801,2.78066421
200,1,1.45546198,4.10464811
201,1,1.34512663,3.51516008
202,1,1.31387615,3.15413308
203,1,1.42843580,3.47054076
204,1,1.53628635,3.21415615
205,1,1.19515514,2.42184567
206,1,1.38460350,3.63206363
207,1,1.44422030,4.80378246
208,1,1.43565464,3.41334319
209,1,1.44808555,2.91483545
210,1,1.49669564,3.21410203
211,1,1.50781202,3.20227909
212,1,1.54836774,3.24142718
213,1,1.46560621,3.20290756
214,1,1.41913939,3.70183229
215,1,1.34970188,3.12026668
216,1,1.38281107,2.38494325
217,1,1.42756724,2.88420653
218,1,1.48095894,4.23652792
219,1,1.35931492,2.91914654
220,1,1.48902011,3.56858087
221,1,1.43346620,3.04127049
222,1,1.35187078,3.80384469
223,1,1.41607356,2.62153244
224,1,1.44370341,2.93644571
225,1,1.24082518,2.20899010
226,1,1.45785022,4.49583960
227,1,1.45828557,3.71198153
228,1,1.59964585,3.77925634
229,1,1.52932310,3.45998406
230,1,1.27016997,3.04806566
231,1,1.38943934,3.39606690
232,1,1.32592630,2.79798317
233,1,1.50623107,3.39886284
234,1,1.19333684,2.78418827
235,1,1.33775914,4.16286659
236,1,1.44424427,3.83486199
237,1,1.43828487,4.68247271
238,1,1.32978773,3.34969687
239,1,1.26362371,3.92338777
240,1,1.40948713,2.96331239
241,1,1.35504019,2.96589208
242,1,1.41171408,3.36049438
243,1,1.26226068,4.36819935
244,1,1.35504246,2.65636706
245,1,1.41110599,3.96420717
246,1,1.27188373,4.21800709
247,1,1.41189754,4.40107393
248,1,1.22489464,3.06218481
249,1,1.35057783,4.32550335
250,1,1.29988265,3.95790982
251,1,1.52127910,4.04064703
252,1,1.45622134,3.91844368
253,1,1.32109427,3.70002341
254,1,1.26681972,2.68958688
255,1,1.53488111,5.28125048
256,1,1.48105431,3.39652562
257,1,1.29598904,2.59150434
258,1,1.33715248,3.19288874
259,1,1.28321433,3.14868951
260,1,1.37693501,4.10459709
261,1,1.31827903,2.84908819
262,1,1.44538927,3.01946640
263,1,1.35001993,2.81628942
264,1,1.34417701,3.16876674
265,1,1.47218609,3.92321610
266,1,1.60520542,4.03783226
267,1,1.46156406,3.42862058
268,1,1.43308973,3.39599776
269,1,1.48421991,4.50759363
270,1,1.27661204,2.12652278
271,1,1.22848165,3.38423944
272,1,1.24911785,3.56042242
273,1,1.21173835,2.35213470
274,1,1.28575945,2.53787780
275,1,1.42070019,3.41855621
276,1,1.46471679,5.21886110
277,1,1.34274554,2.84576869
278,1,1.45038593,3.27106071
279,1,1.29107213,2.95074964
280,1,1.27178860,3.63973331
281,1,1.22841358,3.95466852
282,1,1.22526252,3.84872389
283,1,1.27019238,4.98556185
284,1,1.25458848,3.72148061
285,1,1.30575955,4.61598587
286,1,1.38657248,3.02122545
287,1,1.50049865,4.92390013
288,1,1.33209133,2.46799135
289,1,1.39968586,3.64641404
290,1,1.33053613,4.48357153
291,1,1.28762341,3.79721403
292,1,1.34156621,4.57361317
293,1,1.35534024,2.90886617
294,1,1.14439440,3.13662243
295,1,1.38102996,2.62380695
296,1,1.29211521,5.65581512
297,1,1.37704420,3.99268985
298,1,1.23272467,4.11524200
299,1,1.39690125,4.97934246
300,1,1.29664373,3.12644458
301,1,1.09063137,2.47850990
302,1,1.32908916,3.30119228
303,1,1.33850527,4.56273842
304,1,1.15842199,4.64991140
305,1,1.25571704,3.44173288
306,1,1.33922994,3.09393191
307,1,1.17313766,2.82405353
308,1,1.30925596,5.35743189
309,1,0.99228954,2.26341486
310,1,1.19653475,2.78442931
311,1,1.11186695,4.39618492
312,1,1.11212373,3.62891769
313,1,1.29961777,4.66152573
314,1,1.21710587,2.98581147
315,1,1.36125076,3.34935474
316,1,1.18284237,5.05507660
317,1,1.19017458,3.71002078
318,1,1.24013472,3.73393035
319,1,1.30395031,4.88388777
320,1,1.43727899,3.82383108
321,1,1.21537757,3.27961731
322,1,1.26865840,3.44030499
323,1,1.28329372,4.38580370
324,1,1.35571933,3.84165788
325,1,1.17609847,3.22563744
326,1,1.30682850,3.49890590
327,1,1.15643322,3.23584414
328,1,1.16761124,4.48787260
329,1,1.27555680,5.68886995
