epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.7393602133,0.7482935190,0.0089333057,0.0085434418,0.0003898640,0.7792604566,779.2604565620
5,0.0020000000,0.7393602133,0.7575870752,0.0182268620,0.0170868835,0.0011399784,1.0711234808,535.5617403984
5,0.0050000000,0.7393602133,0.7874623537,0.0481021404,0.0427172089,0.0053849316,2.1328048706,426.5609741211
5,0.0100000000,0.7393602133,0.8435518742,0.1041916609,0.0854344177,0.0187572432,4.4590759277,445.9075927734
10,0.0010000000,0.4310018122,0.4346238375,0.0036220253,0.0035170836,0.0001049416,0.3686896861,368.6896860600
10,0.0020000000,0.4310018122,0.4384057522,0.0074039400,0.0070341673,0.0003697727,0.5152078271,257.6039135456
10,0.0050000000,0.4310018122,0.4503062367,0.0193044245,0.0175854182,0.0017190063,0.9300502539,186.0100507736
10,0.0100000000,0.4310018122,0.4724687040,0.0414668918,0.0351708364,0.0062960553,2.1810815334,218.1081533432
15,0.0010000000,0.2907826900,0.2952747345,0.0044920444,0.0044166765,0.0000753679,0.4506513178,450.6513178349
15,0.0020000000,0.2907826900,0.3000260890,0.0092433989,0.0088333530,0.0004100459,0.6767402887,338.3701443672
15,0.0050000000,0.2907826900,0.3150553703,0.0242726803,0.0220833826,0.0021892977,0.8253722191,165.0744438171
15,0.0100000000,0.2907826900,0.3428621292,0.0520794392,0.0441667652,0.0079126740,2.2759401798,227.5940179825
20,0.0010000000,0.3940495253,0.3987561166,0.0047065914,0.0045693021,0.0001372893,0.4180887938,418.0887937546
20,0.0020000000,0.3940495253,0.4036977589,0.0096482337,0.0091386042,0.0005096295,0.6651129723,332.5564861298
20,0.0050000000,0.3940495253,0.4199308157,0.0258812904,0.0228465104,0.0030347800,1.3021271229,260.4254245758
20,0.0100000000,0.3940495253,0.4498454034,0.0557958782,0.0456930208,0.0101028574,2.5525670052,255.2567005157
