epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00050000,1.38021593,0.49630000,1.01843075,0.63790000,0.38
2,0.00050000,0.94490321,0.66968000,0.99841559,0.65600000,0.75
3,0.00050000,0.78395214,0.72706000,0.71790923,0.75680000,1.13
4,0.00050000,0.68365772,0.76404000,0.76884489,0.73380000,1.52
5,0.00050000,0.61861329,0.78596000,0.71565938,0.76290000,1.89
6,0.00050000,0.56078700,0.80696000,0.67693962,0.76740000,2.28
7,0.00050000,0.51627486,0.82190000,0.52930723,0.82010000,2.68
8,0.00050000,0.48072263,0.83436000,0.51859964,0.82210000,3.05
9,0.00050000,0.44713155,0.84642000,0.53920877,0.81900000,3.41
10,0.00050000,0.41862720,0.85476000,0.49380538,0.83090000,3.79
11,0.00050000,0.39470095,0.86338000,0.47334140,0.84530000,4.16
12,0.00050000,0.37330621,0.87162000,0.48436492,0.84110000,4.53
13,0.00050000,0.34735736,0.88046000,0.45334539,0.85300000,4.91
14,0.00050000,0.33004070,0.88476000,0.43960284,0.85570000,5.28
15,0.00050000,0.31269134,0.89178000,0.44627179,0.85360000,5.66
16,0.00050000,0.30103529,0.89644000,0.47178393,0.84830000,6.03
17,0.00050000,0.28641179,0.90070000,0.47621944,0.84730000,6.41
18,0.00050000,0.27200963,0.90554000,0.44397404,0.86140000,6.78
19,0.00050000,0.25746494,0.91062000,0.41761429,0.86840000,7.15
20,0.00050000,0.24124770,0.91548000,0.43170220,0.86250000,7.53
