epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.7109873295,0.7162334919,0.0052461624,0.0052057996,0.0000403628,0.2689782977,268.9782977104
5,0.0020000000,0.7109873295,0.7215871811,0.0105998516,0.0104115992,0.0001882524,0.4569719136,228.4859567881
5,0.0050000000,0.7109873295,0.7383232117,0.0273358822,0.0260289979,0.0013068843,0.8784139752,175.6827950478
5,0.0100000000,0.7109873295,0.7679497600,0.0569624305,0.0520579958,0.0049044347,1.4670381546,146.7038154602
10,0.0010000000,0.4968379736,0.5035949349,0.0067569613,0.0067461386,0.0000108228,0.5325862765,532.5862765312
10,0.0020000000,0.4968379736,0.5103999376,0.0135619640,0.0134922771,0.0000696869,0.7163892984,358.1946492195
10,0.0050000000,0.4968379736,0.5315940380,0.0347560644,0.0337306929,0.0010253716,1.4438501596,288.7700319290
10,0.0100000000,0.4968379736,0.5689610243,0.0721230507,0.0674613857,0.0046616650,2.4843158722,248.4315872192
15,0.0010000000,0.3691738248,0.3739522994,0.0047784746,0.0047583890,0.0000200856,0.5431380868,543.1380867958
15,0.0020000000,0.3691738248,0.3788158298,0.0096420050,0.0095167780,0.0001252270,0.7694437504,384.7218751907
15,0.0050000000,0.3691738248,0.3939626217,0.0247887969,0.0237919450,0.0009968519,1.2088782787,241.7756557465
15,0.0100000000,0.3691738248,0.4202907085,0.0511168838,0.0475838900,0.0035329938,1.7955782413,179.5578241348
20,0.0010000000,0.3597269356,0.3641877174,0.0044607818,0.0043410740,0.0001197078,0.6227445602,622.7445602417
20,0.0020000000,0.3597269356,0.3689988256,0.0092718899,0.0086821480,0.0005897419,1.1152498722,557.6249361038
20,0.0050000000,0.3597269356,0.3833736181,0.0236466825,0.0217053699,0.0019413126,1.5766258240,315.3251647949
20,0.0100000000,0.3597269356,0.4089348018,0.0492078662,0.0434107399,0.0057971263,3.1222269535,312.2226953506
