global_step,epoch,loss,grad_norm
0,1,2.30397034,0.20878679
1,1,5.52722168,30.79510880
2,1,2.30294800,0.10602435
3,1,2.30076599,0.08901341
4,1,2.30632019,0.15252632
5,1,2.30538940,0.11660843
6,1,2.30262756,0.07810073
7,1,2.30380249,0.11091793
8,1,2.30844116,0.14288418
9,1,2.30923462,0.14406341
10,1,2.30140686,0.05270663
11,1,2.30802917,0.15346414
12,1,2.30105591,0.10911917
13,1,2.30609131,0.12203827
14,1,2.30319214,0.14144114
15,1,2.30670166,0.09162050
16,1,2.30831909,0.11456086
17,1,2.30314636,0.10147089
18,1,2.30412292,0.09422395
19,1,2.30149841,0.06734238
20,1,2.31889343,0.84755081
21,1,2.30435181,0.09970495
22,1,2.30126953,0.10958292
23,1,2.30252075,0.06965568
24,1,2.30361938,0.09690583
25,1,2.30075073,0.12376492
26,1,2.30278015,0.08080289
27,1,2.30279541,0.14528996
28,1,2.30073547,0.07532817
29,1,2.30293274,0.15753603
30,1,2.31019592,0.19162823
31,1,2.30012512,0.13037188
32,1,2.29037476,0.19722490
33,1,2.29685974,0.16492140
34,1,2.28795624,0.30823553
35,1,2.24726105,0.56440419
36,1,2.32347870,2.19297647
37,1,2.27941895,0.48537791
38,1,2.30064392,0.21704853
39,1,2.30111694,0.15949632
40,1,2.30104065,0.09149598
41,1,2.30102539,0.08904121
42,1,2.30281067,0.14336777
43,1,2.30206299,0.11481060
44,1,2.30099487,0.12654234
45,1,2.29467773,0.38247821
46,1,2.29626465,0.18554422
47,1,2.27571106,0.46917242
48,1,2.26744080,0.68848598
49,1,2.25765228,1.07435787
50,1,2.26675797,0.72281659
51,1,2.26758575,0.54063272
52,1,2.26694489,0.87565506
53,1,2.22140121,0.91794473
54,1,2.21448326,2.08811522
55,1,2.19694519,0.29311079
56,1,2.22481537,0.97880769
57,1,2.19660950,0.63779229
58,1,2.18148041,0.41113320
59,1,2.13205719,0.48355606
60,1,2.21033478,1.52625358
61,1,2.19466400,0.54545420
62,1,2.16906738,0.94075215
63,1,2.19706726,0.53719217
64,1,2.22154236,0.77737689
65,1,2.18296814,0.55371028
66,1,2.19098282,0.68795347
67,1,2.21056366,0.64226377
68,1,2.19211197,0.64934754
69,1,2.10217285,0.86202246
70,1,2.13569641,0.65428483
71,1,2.08131790,0.36711159
72,1,2.12998962,1.75792682
73,1,2.14644623,0.51746750
74,1,2.16316986,1.64369595
75,1,2.17715454,0.68209362
76,1,2.08134460,0.58443326
77,1,2.16556549,2.02323580
78,1,2.10341644,1.33891892
79,1,2.12102509,1.44799161
80,1,2.02989960,1.59001577
81,1,2.26848602,5.44736004
82,1,2.03372955,1.72625721
83,1,2.07687378,0.70823252
84,1,2.10672760,2.42159748
85,1,2.09376526,2.07006693
86,1,2.12309265,2.83653831
87,1,2.08882904,2.03153563
88,1,1.99829102,1.19737613
89,1,2.03063202,1.30171168
90,1,2.12541962,1.46676791
91,1,1.98123169,1.80768645
92,1,2.05413818,1.52531707
93,1,2.08235550,1.14237964
94,1,2.05079269,1.15246224
95,1,1.98617935,0.94373083
96,1,2.06374741,7.29789734
97,1,1.96193314,2.17833376
98,1,2.18788528,6.00649929
99,1,2.01707077,1.84124815
100,1,2.37218475,8.91124535
101,1,1.93450165,2.29522657
102,1,2.09336090,2.82538509
103,1,2.14313507,3.75126123
104,1,2.01451111,2.17727017
105,1,2.05974579,0.77178657
106,1,2.03169250,1.32374024
107,1,2.16849518,3.21057653
108,1,2.01770782,1.17341948
109,1,1.95806122,0.76124650
110,1,1.91176605,0.81316805
111,1,2.06230927,0.76240474
112,1,1.97342682,1.18524623
113,1,1.98037720,0.68249828
114,1,2.03533936,1.19423103
115,1,1.98583221,0.87465662
116,1,2.02785110,2.02872872
117,1,1.90689087,1.13609195
118,1,2.00276947,1.60016882
119,1,2.02075958,2.55883694
120,1,2.10423279,1.23494673
121,1,2.00812149,1.11513913
122,1,2.00119781,0.84972262
123,1,1.94371796,1.36690247
124,1,1.97773743,0.90846694
125,1,1.89659119,1.56863070
126,1,1.91039276,0.92801857
127,1,1.98043060,1.04103410
128,1,1.99500275,1.17414522
129,1,1.98671722,1.40725529
130,1,2.03759766,2.79220343
131,1,2.03383636,3.04250169
132,1,2.01470566,1.77317214
133,1,2.02804565,1.58205473
134,1,1.96524811,4.04511404
135,1,1.91529083,0.90033686
136,1,1.96802521,1.13417006
137,1,1.96258926,1.01183748
138,1,1.98318100,3.06535625
139,1,1.98353195,1.90232527
140,1,2.03782654,3.64686108
141,1,1.95843506,2.11876130
142,1,1.99392700,2.70761514
143,1,1.96282578,1.65056539
144,1,1.95868683,1.53639889
145,1,1.98095703,1.11613417
146,1,2.08418274,1.29209685
147,1,1.97609711,1.10482585
148,1,2.01185608,1.79776347
149,1,1.93264008,1.94876337
150,1,1.96022797,1.74997294
151,1,1.98291016,0.94364429
152,1,1.93489075,0.91627085
153,1,1.95034790,1.52197349
154,1,1.83408356,1.08433044
155,1,1.95717621,2.29883862
156,1,1.92261505,1.55062127
157,1,1.89473724,0.94203699
158,1,1.90069580,1.18964124
159,1,2.01859283,1.75656414
160,1,1.98819733,1.68192267
161,1,1.95903015,2.06928992
162,1,2.00854492,2.43676615
163,1,1.94036865,1.36891222
164,1,1.86470413,2.21066260
165,1,1.87298584,1.46767366
166,1,1.80368805,1.30342543
167,1,1.88645172,0.96027857
168,1,1.87609100,1.26376283
169,1,2.10607910,4.88710022
170,1,2.01595306,1.70894277
171,1,1.99442291,3.62337565
172,1,1.86323929,3.96131825
173,1,1.96888733,1.49190438
174,1,2.13458252,4.80649757
175,1,1.99076843,3.85950089
176,1,2.01569366,1.98572910
177,1,1.88278580,1.99526227
178,1,2.02612305,4.69899893
179,1,1.98601913,2.50174522
180,1,1.92671967,1.05092645
181,1,2.01830292,1.86685431
182,1,2.02990723,4.49220705
183,1,1.99578094,1.76939917
184,1,1.89633179,1.19490612
185,1,1.92701721,2.07717967
186,1,1.90029144,1.23845696
187,1,1.94272614,2.01873302
188,1,1.89244843,1.04052389
189,1,1.92845917,0.99237543
190,1,1.90646362,1.30734837
191,1,1.86972046,1.53923225
192,1,1.95453644,1.37045133
193,1,1.94689941,1.43632960
194,1,1.91860962,1.03739405
195,1,1.89841461,1.13028848
196,1,2.05391693,2.12988925
197,1,1.87248230,1.27687490
198,1,1.90657043,1.23332870
199,1,2.08676910,2.23296189
