epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00010000,1.42539005,0.48046000,1.10094068,0.60210000,0.37
2,0.00010000,1.07264108,0.61702000,1.02857676,0.63530000,0.77
3,0.00010000,0.92277531,0.67282000,0.86774505,0.69470000,1.14
4,0.00010000,0.81383894,0.71220000,0.83436339,0.70700000,1.51
5,0.00010000,0.74118811,0.73818000,0.69831062,0.75580000,1.89
6,0.00010000,0.68331103,0.75782000,0.71081483,0.75280000,2.27
7,0.00010000,0.63756356,0.77560000,0.66698291,0.76860000,2.64
8,0.00010000,0.59619873,0.79176000,0.62270811,0.78550000,3.05
9,0.00010000,0.56340986,0.80320000,0.62088162,0.78890000,3.46
10,0.00010000,0.52330346,0.81496000,0.58614490,0.79850000,3.83
11,0.00010000,0.50076822,0.82278000,0.53391744,0.81880000,4.22
12,0.00010000,0.47573449,0.83292000,0.62241908,0.79870000,4.60
13,0.00010000,0.45242693,0.84232000,0.56536806,0.81530000,4.98
14,0.00010000,0.43059554,0.84782000,0.56362725,0.81370000,5.35
15,0.00010000,0.40951717,0.85646000,0.54830822,0.81620000,5.73
16,0.00010000,0.39146928,0.86174000,0.57653663,0.81370000,6.12
17,0.00010000,0.37583601,0.86770000,0.52204629,0.82820000,6.49
18,0.00010000,0.35685540,0.87484000,0.52307281,0.82790000,6.86
19,0.00010000,0.33933682,0.88114000,0.51663444,0.83440000,7.24
20,0.00010000,0.32654132,0.88504000,0.48510061,0.84340000,7.62
