epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.7262655497,0.7299389839,0.0036734343,0.0037675304,0.0000940962,0.4010424018,401.0424017906
5,0.0020000000,0.7262655497,0.7334446907,0.0071791410,0.0075350609,0.0003559198,0.5562927723,278.1463861465
5,0.0050000000,0.7262655497,0.7446480989,0.0183825493,0.0188376522,0.0004551029,0.7088958621,141.7791724205
5,0.0100000000,0.7262655497,0.7643203735,0.0380548239,0.0376753044,0.0003795195,1.1745965481,117.4596548080
10,0.0010000000,0.5982294083,0.6010862589,0.0028568506,0.0029431660,0.0000863154,0.4270192683,427.0192682743
10,0.0020000000,0.5982294083,0.6039120555,0.0056826472,0.0058863320,0.0002036848,0.5707088709,285.3544354439
10,0.0050000000,0.5982294083,0.6123731136,0.0141437054,0.0147158301,0.0005721247,0.6837397814,136.7479562759
10,0.0100000000,0.5982294083,0.6272010207,0.0289716125,0.0294316602,0.0004600477,0.8250314593,82.5031459332
15,0.0010000000,0.5886762738,0.5919790268,0.0033027530,0.0034054086,0.0001026556,0.5307865739,530.7865738869
15,0.0020000000,0.5886762738,0.5951479077,0.0064716339,0.0068108172,0.0003391833,0.6891633868,344.5816934109
15,0.0050000000,0.5886762738,0.6047058702,0.0160295963,0.0170270431,0.0009974468,0.8499522805,169.9904561043
15,0.0100000000,0.5886762738,0.6205436587,0.0318673849,0.0340540862,0.0021867013,1.1742464304,117.4246430397
20,0.0010000000,0.4566440582,0.4595722258,0.0029281676,0.0031708107,0.0002426431,0.5079331994,507.9331994057
20,0.0020000000,0.4566440582,0.4626674652,0.0060234070,0.0063416214,0.0003182144,0.6517750621,325.8875310421
20,0.0050000000,0.4566440582,0.4704213142,0.0137772560,0.0158540535,0.0020767975,1.6390203238,327.8040647507
20,0.0100000000,0.4566440582,0.4806718230,0.0240277648,0.0317081070,0.0076803422,2.1462287903,214.6228790283
