epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00100000,1.50445755,0.44028000,1.25346254,0.56510000,0.38
2,0.00100000,1.04095385,0.62978000,0.96727973,0.66700000,0.76
3,0.00100000,0.85841029,0.70116000,0.82252362,0.71720000,1.14
4,0.00100000,0.73824787,0.74558000,0.75531985,0.73500000,1.51
5,0.00100000,0.65967692,0.77500000,0.71502053,0.74570000,1.90
6,0.00100000,0.59863255,0.79662000,0.66951144,0.77690000,2.28
7,0.00100000,0.54713481,0.81278000,0.65244981,0.78570000,2.66
8,0.00100000,0.50159612,0.82938000,0.55551191,0.81560000,3.04
9,0.00100000,0.46452437,0.84254000,0.52141103,0.82390000,3.41
10,0.00100000,0.43187524,0.85222000,0.54446565,0.82410000,3.79
11,0.00100000,0.40987442,0.85956000,0.56093434,0.81720000,4.16
12,0.00100000,0.38540009,0.86862000,0.43132483,0.85420000,4.53
13,0.00100000,0.35668395,0.87918000,0.44573762,0.85290000,4.91
14,0.00100000,0.33845098,0.88566000,0.43225263,0.85590000,5.28
15,0.00100000,0.31163244,0.89436000,0.45236726,0.85420000,5.66
16,0.00100000,0.29858394,0.89828000,0.50441317,0.84570000,6.05
17,0.00100000,0.28631215,0.90178000,0.40610319,0.86910000,6.42
18,0.00100000,0.26813513,0.90836000,0.43039289,0.86610000,6.80
19,0.00100000,0.25439002,0.91246000,0.42222347,0.86620000,7.16
20,0.00100000,0.23565938,0.92014000,0.42471857,0.87000000,7.53
