epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00010000,1.81165843,0.32214000,1.48114238,0.44770000,0.35
2,0.00010000,1.42915441,0.47640000,1.30412372,0.52920000,0.71
3,0.00010000,1.24179385,0.55072000,1.12939581,0.59640000,1.06
4,0.00010000,1.11062007,0.59906000,1.07111826,0.62020000,1.42
5,0.00010000,0.99713149,0.64146000,0.89526888,0.67910000,1.77
6,0.00010000,0.91031591,0.67502000,0.85916821,0.69630000,2.13
7,0.00010000,0.83243252,0.70240000,0.79744833,0.71750000,2.48
8,0.00010000,0.76056369,0.73376000,0.75351748,0.73650000,2.84
9,0.00010000,0.71971045,0.74666000,0.71727487,0.74980000,3.19
10,0.00010000,0.66476518,0.76566000,0.66461002,0.77220000,3.54
11,0.00010000,0.62303520,0.78172000,0.69338314,0.75750000,3.90
12,0.00010000,0.58758206,0.79492000,0.62554728,0.78480000,4.25
13,0.00010000,0.54739011,0.80798000,0.60449088,0.79030000,4.61
14,0.00010000,0.52502558,0.81576000,0.60733781,0.79020000,4.97
15,0.00010000,0.50162254,0.82442000,0.58615522,0.79910000,5.32
16,0.00010000,0.47221675,0.83432000,0.56490151,0.81040000,5.68
17,0.00010000,0.44551491,0.84284000,0.56893597,0.80940000,6.02
18,0.00010000,0.42236324,0.85238000,0.55220776,0.81760000,6.37
19,0.00010000,0.39866594,0.86106000,0.55872356,0.81230000,6.71
20,0.00010000,0.38338287,0.86618000,0.55827746,0.81860000,7.06
