epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00100000,1.87836890,0.26522000,1.58005146,0.40110000,0.46
2,0.00100000,1.40992304,0.47618000,1.24650550,0.55260000,0.82
3,0.00100000,1.14280915,0.59518000,1.03826932,0.63410000,1.19
4,0.00100000,0.96668608,0.65990000,0.89817875,0.69590000,1.54
5,0.00100000,0.86644181,0.69814000,0.79610231,0.73240000,1.91
6,0.00100000,0.78033824,0.73364000,0.78614954,0.73330000,2.27
7,0.00100000,0.73503809,0.74802000,0.74477479,0.74760000,2.63
8,0.00100000,0.67816700,0.76884000,0.69295165,0.76760000,2.99
9,0.00100000,0.64021809,0.78246000,0.68457045,0.76940000,3.34
10,0.00100000,0.60236615,0.79534000,0.63349575,0.79140000,3.69
11,0.00100000,0.58547467,0.80354000,0.59433622,0.80330000,4.05
12,0.00100000,0.55115397,0.81374000,0.58100998,0.80040000,4.41
13,0.00100000,0.52607074,0.82234000,0.60933051,0.79750000,4.77
14,0.00100000,0.51447590,0.82470000,0.57745078,0.81140000,5.11
15,0.00100000,0.49848601,0.82870000,0.59832529,0.80420000,5.46
16,0.00100000,0.47461026,0.83836000,0.61932956,0.80120000,5.81
17,0.00100000,0.46651158,0.84162000,0.56974031,0.81650000,6.16
18,0.00100000,0.45180560,0.84608000,0.53557182,0.82440000,6.50
19,0.00100000,0.43732398,0.85004000,0.57762886,0.80760000,6.85
20,0.00100000,0.42509788,0.85710000,0.52882844,0.82780000,7.20
