global_step,epoch,loss,grad_norm
190,1,1.60095286,4.04214907
191,1,1.56605530,2.77564883
192,1,1.76533389,5.77374506
193,1,1.75991678,6.31996679
194,1,1.73785686,1.96952009
195,1,1.53020763,2.66159725
196,1,1.97022533,8.66880322
197,1,1.62379646,2.86139488
198,1,1.73438072,2.20045066
199,1,1.94701672,3.75217986
200,1,1.79380035,3.46982956
201,1,1.79679871,3.11543632
202,1,1.73645973,2.92679834
203,1,1.76535368,3.36695075
204,1,1.79036951,3.36391449
205,1,1.77236843,4.88555431
206,1,1.75771737,2.00103784
207,1,1.64531827,2.95087671
208,1,1.66029882,4.97313929
209,1,1.69971466,3.88219476
210,1,1.67898560,4.19968605
211,1,1.73585701,4.57462311
212,1,1.72316360,4.02523375
213,1,1.79726315,5.13876486
214,1,1.77761078,3.12546921
215,1,1.64198685,2.01173663
216,1,1.68951988,2.23180461
217,1,1.63098443,3.24051237
218,1,1.70422935,1.76191354
219,1,1.72896624,3.36929226
220,1,1.74380803,3.65921807
221,1,1.66190362,2.51302075
222,1,1.70464873,2.61749911
223,1,1.74186325,3.32225513
224,1,1.62223196,2.80637956
225,1,1.61406708,2.31018996
226,1,1.82073021,3.37190890
227,1,1.75683403,2.96276951
228,1,1.62636566,2.13663149
229,1,1.66677380,5.08982611
230,1,1.65545082,3.01745224
231,1,1.58280563,3.64730191
232,1,1.67358780,4.53031778
233,1,1.57658958,1.66503096
234,1,1.78562546,7.26787758
235,1,1.67618942,4.07465887
236,1,1.61243534,3.72431970
237,1,1.57089090,3.96673679
238,1,1.68290710,4.73071194
239,1,1.55661869,2.76297069
240,1,1.64774561,3.76186109
241,1,1.60478020,3.38262391
242,1,1.62066436,4.59674406
243,1,1.69696617,4.11581421
244,1,1.54602122,3.88576841
245,1,1.73858869,5.57536221
246,1,1.54135799,3.54104590
247,1,1.57510138,3.65608525
248,1,1.67332792,3.67918587
249,1,1.66633129,4.60453129
250,1,1.68284893,7.48034239
251,1,1.61758137,4.28310537
252,1,1.58199501,4.08579063
253,1,1.72546005,4.67468929
254,1,1.55528450,2.85401678
255,1,1.61408913,3.09021664
256,1,1.60340667,1.78445137
257,1,1.72887802,5.29411030
258,1,1.56276131,2.47818804
259,1,1.63228226,5.14898109
260,1,1.61057806,3.71594882
261,1,1.48818636,4.52334881
262,1,1.52400661,2.38344312
263,1,1.66433811,6.22127390
264,1,1.51728535,4.17866993
265,1,1.43443108,2.58893752
266,1,1.71408606,6.39074183
267,1,1.54799557,5.76299715
268,1,1.45147133,3.40901113
269,1,1.58156979,5.89333487
270,1,1.37763608,2.19991136
271,1,1.58073699,4.88623571
272,1,1.75292635,5.23868990
273,1,1.59877110,2.91308117
274,1,1.52266788,3.99220634
275,1,1.58383894,7.46343374
276,1,1.41286898,3.29393840
277,1,1.64586687,7.95999002
278,1,1.72250962,4.77672577
279,1,1.59424686,4.52751589
280,1,1.55986357,5.76604700
281,1,1.66766453,4.29387188
282,1,1.59921455,4.14774752
283,1,1.44586182,4.33293343
284,1,1.63870335,4.15191269
285,1,1.58200955,6.08671761
286,1,1.69276190,6.73395443
287,1,1.63796377,4.99007940
288,1,1.41369915,2.41947150
289,1,1.53777981,4.22165108
290,1,1.67712927,3.83612800
291,1,1.57700562,3.63582635
292,1,1.57920253,2.82203674
293,1,1.61529970,3.21987033
294,1,1.63044500,2.07608604
295,1,1.45144463,1.88900232
296,1,1.58848381,2.61441302
297,1,1.49212480,1.87246549
298,1,1.60142517,2.13776374
299,1,1.40481091,2.58251166
300,1,1.47899437,3.62928605
301,1,1.37661755,3.20804286
302,1,1.69915462,5.30959129
303,1,1.37245750,4.77779675
304,1,1.68743062,5.19784403
305,1,1.57792091,4.30000448
306,1,1.52437758,5.98428106
307,1,1.50564289,3.32396078
308,1,1.52306652,2.79495931
309,1,1.39178371,2.75644851
310,1,1.40875149,4.63081646
311,1,1.48946786,3.55248499
312,1,1.48818159,3.06177545
313,1,1.73976040,4.37383938
314,1,1.50194073,6.08273602
315,1,1.51904297,3.14828086
316,1,1.39902282,2.59077239
317,1,1.43007898,3.57440996
318,1,1.46320295,3.31174135
319,1,1.50729012,6.75592947
320,1,1.51492620,3.29976273
321,1,1.59953964,5.18833637
322,1,1.52946854,5.05864334
323,1,1.61992991,4.33850288
324,1,1.52213335,4.69594908
325,1,1.48721266,2.65305376
326,1,1.42151356,3.27812433
327,1,1.44689512,2.93491340
328,1,1.51635695,3.51581097
329,1,1.58475590,4.67148066
330,1,1.30115378,4.05423355
331,1,1.38593042,2.75360131
332,1,1.64261580,3.53097439
333,1,1.45390892,4.52203369
334,1,1.57385445,4.59817934
335,1,1.47284603,5.53510284
336,1,1.56346703,3.11531973
337,1,1.32227421,3.09574199
338,1,1.53139496,4.11335659
339,1,1.40412140,3.82086921
340,1,1.44057560,2.48938036
341,1,1.32800639,2.87932897
342,1,1.49336886,6.67677021
343,1,1.41906130,5.84758759
344,1,1.56950951,4.18998623
345,1,1.59880304,6.49861717
346,1,1.32815647,5.02595472
347,1,1.54170310,3.92265415
348,1,1.51846886,4.20073938
349,1,1.37845898,3.49641395
350,1,1.64660072,5.50671911
351,1,1.44438314,3.18832493
352,1,1.36726665,3.72224021
353,1,1.42241859,5.07031155
354,1,1.33390749,3.60952449
355,1,1.38161325,5.36478138
356,1,1.46211982,4.73346376
357,1,1.46486580,3.74735212
358,1,1.40612912,5.68937111
359,1,1.69186354,7.97216415
360,1,1.58137941,5.62790346
361,1,1.38288999,6.19535494
362,1,1.34103894,4.42292833
363,1,1.32895184,2.64103985
364,1,1.41190815,4.52515459
365,1,1.36768174,4.26476192
366,1,1.44838238,3.98854709
367,1,1.29983544,2.43539643
368,1,1.50685894,3.66833019
369,1,1.49898458,3.08401084
370,1,1.59027719,4.02800322
371,1,1.34416664,4.36163521
372,1,1.43769169,2.81892323
373,1,1.46099377,3.89982033
374,1,1.47602654,3.36159849
375,1,1.37585020,4.00383806
376,1,1.40057755,2.73282242
377,1,1.36969471,2.85511446
378,1,1.44050241,4.73638916
379,1,1.65343475,5.32949734
380,1,1.43106842,2.93675375
381,1,1.41956329,4.37770605
382,1,1.57564807,5.90631533
383,1,1.35893059,3.99139929
384,1,1.36642885,4.04011106
385,1,1.35547578,3.27125287
386,1,1.37585175,3.92400455
387,1,1.43174648,2.88635159
388,1,1.44780636,3.65871167
389,1,1.41813898,6.30541229
390,1,1.39944720,5.81760931
391,2,1.42715216,6.79766750
392,2,1.51131070,7.26542711
393,2,1.40495229,3.25360298
394,2,1.37062931,3.00952029
395,2,1.43955326,3.09893632
396,2,1.43934155,2.99275303
397,2,1.43414450,2.65846705
398,2,1.27126479,2.74684811
399,2,1.26143503,3.91913652
400,2,1.30567431,3.60696816
401,2,1.35088778,3.17536569
402,2,1.39348650,5.20173883
403,2,1.46631372,4.69448280
404,2,1.28091002,4.32360172
405,2,1.36554956,3.71280289
406,2,1.32136571,3.48292899
407,2,1.36441040,2.67220020
408,2,1.20731175,5.61882305
409,2,1.32085419,5.07748508
410,2,1.46412027,5.48061609
411,2,1.35669231,4.08954477
412,2,1.45631647,5.05932570
413,2,1.21674848,4.61347532
414,2,1.32664752,4.43738747
415,2,1.28520644,5.15012836
