epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.6261703372,0.6374142766,0.0112439394,0.0108531199,0.0003908195,0.6907653809,690.7653808594
5,0.0020000000,0.6261703372,0.6488755941,0.0227052569,0.0217062397,0.0009990172,0.8629684448,431.4842224121
5,0.0050000000,0.6261703372,0.6824973822,0.0563270450,0.0542655993,0.0020614457,2.0437574387,408.7514877319
5,0.0100000000,0.6261703372,0.7505055666,0.1243352294,0.1085311985,0.0158040309,6.5691981316,656.9198131561
10,0.0010000000,0.4167663455,0.4271993637,0.0104330182,0.0100906706,0.0003423476,0.9277101755,927.7101755142
10,0.0020000000,0.4167663455,0.4385381043,0.0217717588,0.0201813412,0.0015904176,1.8927441835,946.3720917702
10,0.0050000000,0.4167663455,0.4769043624,0.0601380169,0.0504533529,0.0096846640,4.4430475235,888.6095046997
10,0.0100000000,0.4167663455,0.5513614416,0.1345950961,0.1009067059,0.0336883903,7.5774149895,757.7414989471
15,0.0010000000,0.3309790194,0.3389020562,0.0079230368,0.0073529382,0.0005700986,1.5341202021,1534.1202020645
15,0.0020000000,0.3309790194,0.3482854962,0.0173064768,0.0147058764,0.0026006005,3.1902351379,1595.1175689697
15,0.0050000000,0.3309790194,0.3852164149,0.0542373955,0.0367646909,0.0174727046,8.1344652176,1626.8930435181
15,0.0100000000,0.3309790194,0.4686707854,0.1376917660,0.0735293818,0.0641623843,13.9934520721,1399.3452072144
20,0.0010000000,0.2976125181,0.3059678674,0.0083553493,0.0076741500,0.0006811993,1.2737303972,1273.7303972244
20,0.0020000000,0.2976125181,0.3154961467,0.0178836286,0.0153483000,0.0025353286,2.7939112186,1396.9556093216
20,0.0050000000,0.2976125181,0.3459508419,0.0483383238,0.0383707500,0.0099675739,3.2456638813,649.1327762604
20,0.0100000000,0.2976125181,0.3964520395,0.0988395214,0.0767414999,0.0220980215,4.0206456184,402.0645618439
