epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.7971678972,0.8021231890,0.0049552917,0.0048488874,0.0001064043,0.3676905632,367.6905632019
5,0.0020000000,0.7971678972,0.8072380424,0.0100701451,0.0096977749,0.0003723702,0.6900516748,345.0258374214
5,0.0050000000,0.7971678972,0.8236069083,0.0264390111,0.0242444372,0.0021945739,1.5000082254,300.0016450882
5,0.0100000000,0.7971678972,0.8545173407,0.0573494434,0.0484888744,0.0088605690,3.1613314152,316.1331415176
10,0.0010000000,0.5770342946,0.5837572813,0.0067229867,0.0066464653,0.0000765214,0.4866229892,486.6229891777
10,0.0020000000,0.5770342946,0.5906854868,0.0136511922,0.0132929306,0.0003582616,0.8118437529,405.9218764305
10,0.0050000000,0.5770342946,0.6128668785,0.0358325839,0.0332323265,0.0026002574,1.9265215397,385.3043079376
10,0.0100000000,0.5770342946,0.6534727812,0.0764384866,0.0664646530,0.0099738336,3.6639139652,366.3913965225
15,0.0010000000,0.5855302811,0.5980820656,0.0125517845,0.0124123831,0.0001394014,0.7639988065,763.9988064766
15,0.0020000000,0.5855302811,0.6107694507,0.0252391696,0.0248247662,0.0004144034,1.2637301683,631.8650841713
15,0.0050000000,0.5855302811,0.6483215094,0.0627912283,0.0620619154,0.0007293129,2.4686563015,493.7312602997
15,0.0100000000,0.5855302811,0.7123079896,0.1267777085,0.1241238308,0.0026538777,4.1918339729,419.1833972931
20,0.0010000000,0.6118442416,0.6245421171,0.0126978755,0.0122749281,0.0004229474,1.4956791401,1495.6791400909
20,0.0020000000,0.6118442416,0.6373137236,0.0254694819,0.0245498562,0.0009196258,1.9880280495,994.0140247345
20,0.0050000000,0.6118442416,0.6789272428,0.0670830011,0.0613746405,0.0057083607,4.6775770187,935.5154037476
20,0.0100000000,0.6118442416,0.7576234341,0.1457791924,0.1227492809,0.0230299115,8.7908105850,879.0810585022
