epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00050000,1.72876638,0.33972000,1.38176780,0.48910000,0.34
2,0.00050000,1.24781601,0.54778000,1.01810773,0.63390000,0.69
3,0.00050000,0.98421275,0.65096000,0.88762877,0.68740000,1.03
4,0.00050000,0.84039059,0.70424000,0.84067508,0.71370000,1.38
5,0.00050000,0.73543933,0.74498000,0.73507859,0.74710000,1.73
6,0.00050000,0.66264715,0.77200000,0.66047264,0.77550000,2.08
7,0.00050000,0.60123976,0.79340000,0.60834434,0.79340000,2.43
8,0.00050000,0.54832616,0.81306000,0.61190480,0.78960000,2.77
9,0.00050000,0.51560784,0.82292000,0.55225234,0.81280000,3.11
10,0.00050000,0.47163488,0.83790000,0.57943508,0.80850000,3.46
11,0.00050000,0.44841535,0.84570000,0.56168194,0.81310000,3.82
12,0.00050000,0.42252824,0.85398000,0.53407080,0.82200000,4.18
13,0.00050000,0.39481523,0.86510000,0.50379212,0.83490000,4.53
14,0.00050000,0.37601384,0.87064000,0.51886448,0.83150000,4.87
15,0.00050000,0.35655656,0.87770000,0.48633716,0.84430000,5.23
16,0.00050000,0.33566380,0.88424000,0.48931052,0.84180000,5.58
17,0.00050000,0.32026404,0.89088000,0.49378940,0.84300000,5.93
18,0.00050000,0.30268256,0.89624000,0.49431908,0.84900000,6.29
19,0.00050000,0.28995969,0.90040000,0.48313950,0.85130000,6.63
20,0.00050000,0.28217526,0.90208000,0.53497658,0.83510000,6.97
