global_step,epoch,loss,grad_norm
0,1,2.32687759,13.19982147
1,1,5.05299950,inf
2,1,5.04727459,24.20102501
3,1,5.12474823,21.90773010
4,1,4.95314264,15.50895882
5,1,3.17666626,7.23691320
6,1,2.53615952,3.69052672
7,1,2.74377060,4.73323536
8,1,2.44234276,4.16798592
9,1,2.35455322,4.17139769
10,1,2.42002487,3.22846699
11,1,2.40465164,2.90203905
12,1,2.34734344,2.03970551
13,1,2.31255341,1.88882041
14,1,2.38412476,2.34226203
15,1,2.27977753,1.45021474
16,1,2.32596588,2.51984000
17,1,2.30334473,1.94982779
18,1,2.29954529,1.49412727
19,1,2.28122711,2.12081814
20,1,2.28691864,1.56295598
21,1,2.30407715,1.84706616
22,1,2.36656570,1.89034295
23,1,2.27636337,1.38808346
24,1,2.35804176,2.04992676
25,1,2.35945892,2.05059934
26,1,2.37991333,1.95698941
27,1,2.28422546,1.27528465
28,1,2.26556396,1.64910686
29,1,2.32346344,1.56224632
30,1,2.31449127,1.29093373
31,1,2.31011200,1.75387406
32,1,2.30012512,2.10115194
33,1,2.30362701,1.89060879
34,1,2.27968597,1.43172717
35,1,2.25006866,0.75985855
36,1,2.31001282,1.59673536
37,1,2.29140854,1.49233055
38,1,2.28673553,1.35492969
39,1,2.28709412,0.80569911
40,1,2.27053070,0.92668742
41,1,2.31339264,0.85948288
42,1,2.32760620,1.09646165
43,1,2.24034882,1.26006460
44,1,2.21132660,1.25540853
45,1,2.24310684,1.12120092
46,1,2.29457092,1.74892187
47,1,2.21871567,0.70828730
48,1,2.24456024,0.93059981
49,1,2.23220062,0.86342162
50,1,2.26332855,0.86886632
51,1,2.25953674,1.23670125
52,1,2.24830627,0.71384215
53,1,2.24303436,1.02634084
54,1,2.23430634,0.62845951
55,1,2.19113922,0.77061296
56,1,2.26762009,0.67371702
57,1,2.19747925,0.83977145
58,1,2.20777130,1.13195038
59,1,2.20267105,0.60152346
60,1,2.16851807,0.97184795
61,1,2.23815918,0.98394579
62,1,2.18029022,0.86570477
63,1,2.19360352,0.68960607
64,1,2.13313293,0.58387250
65,1,2.15722656,0.89010900
66,1,2.10414124,1.00439548
67,1,2.13846588,0.55755168
68,1,2.14553833,0.66783249
69,1,2.05577087,0.81103265
70,1,2.10282898,0.72167408
71,1,2.01856995,0.74601239
72,1,2.10448456,0.99835223
73,1,2.09091187,0.96555316
74,1,2.13207245,1.32954001
75,1,2.13739777,1.13236165
76,1,2.15216446,1.90382051
77,1,2.12747955,1.19725096
78,1,2.13053131,1.43718469
79,1,2.08672333,0.92924833
80,1,2.07574463,1.01085460
81,1,2.04570007,0.82052314
82,1,2.01213837,0.93572628
83,1,2.06976318,1.41596007
84,1,2.08258820,1.34238386
85,1,2.05167389,0.92921603
86,1,1.97219849,1.02238274
87,1,1.97328949,1.15045190
88,1,1.99247360,1.02219021
89,1,2.01702499,1.50077605
90,1,2.09818649,1.82769310
91,1,2.08126831,1.49468517
92,1,1.93370819,1.10781837
93,1,2.02682495,1.31602991
94,1,1.91188431,0.87018913
95,1,2.05418396,1.02999949
96,1,2.06711578,1.70528805
97,1,1.94052887,1.01973343
98,1,1.90985107,0.63934839
99,1,2.04413605,1.39002371
100,1,2.05838776,1.29294300
101,1,1.86275482,1.27184355
102,1,1.96648407,1.38505197
103,1,1.95144653,0.99398249
104,1,1.86476135,0.79956621
105,1,1.92451477,1.49460733
106,1,1.94001007,1.10817778
107,1,2.03692627,1.33126545
108,1,1.89981079,1.08105671
109,1,2.01377106,1.43871403
110,1,1.93322754,1.33671618
111,1,2.00186157,1.36489666
112,1,1.97925186,1.24978638
113,1,1.92649078,1.11228144
114,1,1.98710632,1.06805789
115,1,1.93612671,0.79735541
116,1,2.05161285,1.16815257
117,1,1.90963745,1.00115585
118,1,1.93672180,1.01867557
119,1,1.95651245,1.23292065
120,1,1.87959671,1.24011087
121,1,1.96313858,1.08712959
122,1,2.07036591,1.03812397
123,1,1.93193436,1.24830341
124,1,2.02679062,1.18013418
125,1,2.05279160,1.29541254
126,1,1.93687439,1.22161245
127,1,2.04417801,1.51158583
128,1,1.94590759,1.01689661
129,1,1.93265533,1.40080488
130,1,1.96464920,1.09026229
131,1,2.06010056,1.45828545
132,1,1.84303284,1.21337771
133,1,1.94967651,1.09241056
134,1,1.92229843,0.96106935
135,1,1.89787674,1.08772945
136,1,2.01597404,1.31620669
137,1,1.88652802,0.92486393
138,1,1.84912491,1.02118731
139,1,1.96416855,1.13526738
140,1,1.93186951,0.86111140
141,1,2.08148766,1.31028974
142,1,1.98858643,1.10054040
143,1,1.76405334,1.40164924
144,1,1.84660339,1.03077435
145,1,1.95630264,1.04036903
146,1,1.90186691,0.87543285
147,1,1.95588303,1.11809194
148,1,1.82239532,0.89318651
149,1,1.92894745,1.27404428
150,1,2.02155304,1.82029057
151,1,1.78422165,0.90406883
152,1,1.85313988,1.12498856
153,1,1.95727158,1.48789084
154,1,1.88584137,1.51170766
155,1,1.81707382,0.82797062
156,1,1.89657593,1.36711395
157,1,1.94917679,1.15182078
158,1,1.89478683,1.16116285
159,1,1.83596230,0.78712636
160,1,1.87861633,1.25215912
161,1,1.86980820,0.88509172
162,1,1.82973099,1.10090542
163,1,1.93675995,1.30600572
164,1,1.86193848,0.90498680
165,1,1.87502480,1.30167806
166,1,1.82498169,1.25142694
167,1,2.01711273,1.80715346
168,1,1.86152649,1.04480648
169,1,2.00975418,1.37801528
170,1,1.81030655,1.39603829
171,1,2.01652527,1.42401564
172,1,2.02455521,1.10901392
173,1,1.85254669,1.32975113
174,1,1.86579895,1.11570275
175,1,1.91912079,1.15232551
176,1,1.87693024,0.94374061
177,1,1.87128448,0.83510190
178,1,1.88491821,1.06279767
179,1,1.96056175,0.82157493
180,1,1.92333221,1.15887928
181,1,1.79118347,0.75160116
