global_step,epoch,loss,grad_norm
0,1,2.35930634,13.08818817
1,1,2.39868069,10.08221817
2,1,2.59167480,11.43759251
3,1,2.23402405,6.83881521
4,1,2.26567459,5.52048826
5,1,2.23360825,5.58463335
6,1,2.15844536,4.53800917
7,1,2.11769104,5.70381212
8,1,2.08562088,4.95687771
9,1,2.06165695,4.96424437
10,1,2.05114746,3.98993945
11,1,1.95432281,4.08832645
12,1,2.02752876,4.72396040
13,1,1.87976074,2.92448425
14,1,1.95062065,5.37089872
15,1,1.94417477,4.39069891
16,1,1.88748169,3.74125576
17,1,1.84479332,3.19482303
18,1,2.00097084,4.05453110
19,1,1.94138336,3.94689918
20,1,1.79690361,2.51767850
21,1,1.83554459,4.32059002
22,1,1.89033890,4.25114536
23,1,1.81838417,3.92807794
24,1,1.95447731,3.55746150
25,1,1.79057026,3.89973688
26,1,1.83975029,2.95695877
27,1,1.88557339,3.65808702
28,1,1.81251717,4.67512941
29,1,1.85436440,5.23037243
30,1,1.73815918,4.34938478
31,1,1.80238342,3.67475748
32,1,1.84174538,4.83160830
33,1,1.63743114,4.06450605
34,1,1.84105873,5.51282787
35,1,1.74637985,3.80850792
36,1,1.68898582,3.25442886
37,1,1.74321651,4.20454788
38,1,1.80214500,5.38026524
39,1,1.66560984,4.30449104
40,1,1.64167309,3.92362356
41,1,1.62356377,3.36466765
42,1,1.94406509,5.77746201
43,1,1.75388432,5.22329092
44,1,1.80666256,4.73992395
45,1,1.59450912,4.58587837
46,1,1.96434116,7.58553743
47,1,1.49081039,3.64083505
48,1,1.76734924,4.24528027
49,1,1.62521839,4.62034607
50,1,1.69728947,4.30085945
51,1,1.65177202,4.56369591
52,1,1.56693172,4.00477934
53,1,1.69881535,4.71628284
54,1,1.71726990,4.26396322
55,1,1.60954952,4.11710787
56,1,1.68157196,4.02767611
57,1,1.62037373,5.02888680
58,1,1.74070358,4.27576876
59,1,1.70747900,3.47786140
60,1,1.60848808,3.16307378
61,1,1.69496822,4.59893942
62,1,1.74878693,4.39215231
63,1,1.72730637,3.73154855
64,1,1.65320778,3.50237036
65,1,1.75700760,4.11872482
66,1,1.68334866,4.04831171
67,1,1.61873055,2.96869826
68,1,1.75850677,2.62215519
69,1,1.49233437,3.10808110
70,1,1.51465511,3.41553116
71,1,1.49819279,3.49617267
72,1,1.56063747,2.76749849
73,1,1.61538792,2.78359509
74,1,1.71752262,3.95408273
75,1,1.71739054,3.58916092
76,1,1.58218288,3.65067887
77,1,1.50211620,4.14648390
78,1,1.45324183,3.60663843
79,1,1.74906349,4.62060547
80,1,1.64787388,5.14914179
81,1,1.66307926,3.59684348
82,1,1.72062826,4.25570965
83,1,1.60878038,5.00950956
84,1,1.47779846,3.50534129
85,1,1.46817636,3.79386616
86,1,1.59288788,5.80346298
87,1,1.54660845,3.47700524
88,1,1.53157997,3.19178748
89,1,1.57775545,4.08818197
90,1,1.45341682,3.40833354
91,1,1.40046215,2.96035695
92,1,1.55648041,4.09062243
93,1,1.75358105,4.52347422
94,1,1.66348028,3.68243432
95,1,1.57581568,4.58751249
96,1,1.57815528,3.56824374
97,1,1.50161076,3.79863524
98,1,1.55656457,3.66778874
99,1,1.55830288,5.25489616
100,1,1.46336555,3.58789325
101,1,1.59057999,3.73490930
102,1,1.45086145,3.58567882
103,1,1.50526905,2.95043445
104,1,1.47718048,3.61352324
105,1,1.47773099,4.62968540
106,1,1.41561365,3.29420304
107,1,1.54754782,4.10311747
108,1,1.42207289,3.21722722
109,1,1.46233654,4.10995054
110,1,1.33047438,3.46196318
111,1,1.39457107,2.85846710
112,1,1.47204256,3.57802391
113,1,1.39732313,4.09006786
114,1,1.42830491,4.21290064
115,1,1.53634870,3.95811796
116,1,1.44782174,6.10406685
117,1,1.37646329,5.92528534
118,1,1.39511681,5.44966698
119,1,1.45795727,3.50381327
120,1,1.49265814,4.69364405
121,1,1.39656019,5.67931890
122,1,1.52733564,4.65613079
123,1,1.46376085,5.69172430
124,1,1.53738713,4.00015020
125,1,1.33846664,3.27317476
126,1,1.41993594,3.80987215
127,1,1.42825460,6.05802727
128,1,1.41300273,3.16160131
129,1,1.36716819,4.46369934
130,1,1.49413061,6.22219801
131,1,1.47944427,3.84161329
132,1,1.37026405,3.86333394
133,1,1.35306835,3.22926474
134,1,1.53020382,5.00046539
135,1,1.37730455,4.74951792
136,1,1.55539310,5.69441175
137,1,1.45498180,3.89912939
138,1,1.41036046,4.20595932
139,1,1.42086744,5.21059036
140,1,1.39241338,4.16271830
141,1,1.47528505,4.39471722
142,1,1.50146389,5.22811127
143,1,1.32949400,5.16757584
144,1,1.33025694,4.34190083
145,1,1.44446921,4.01509666
146,1,1.34202456,5.62780809
147,1,1.28411102,3.92435479
148,1,1.31475079,3.68965912
149,1,1.43691039,4.25961256
150,1,1.48113108,7.49179316
151,1,1.38086390,4.80512238
152,1,1.32816625,4.84308386
153,1,1.45238161,4.47367096
154,1,1.35905588,4.54448414
155,1,1.31604791,3.47001171
156,1,1.32720804,4.09733057
157,1,1.47853184,7.26051044
158,1,1.43408132,4.27252674
159,1,1.43483257,6.18917322
160,1,1.38946295,4.24009418
161,1,1.27806139,4.33159542
162,1,1.20052147,4.33493662
163,1,1.31196141,4.62156057
164,1,1.13693941,3.29469347
165,1,1.48120129,5.04515362
166,1,1.35364735,4.84468985
167,1,1.35253298,6.18786573
168,1,1.27338064,4.55514050
169,1,1.42182779,3.77535748
170,1,1.18843138,3.20235586
171,1,1.46116686,4.77757788
172,1,1.41244459,4.31538248
