global_step,epoch,loss,grad_norm
0,1,2.30413818,0.21321428
1,1,2.30082703,0.15072151
2,1,2.29931641,0.15165541
3,1,2.29684448,0.20522170
4,1,2.28773499,0.27253613
5,1,2.29208374,0.25888437
6,1,2.28771973,0.26840362
7,1,2.29380035,0.36313352
8,1,2.28938293,0.45954511
9,1,2.28685760,0.48560163
10,1,2.29096985,0.42737463
11,1,2.25900269,0.44915169
12,1,2.25734711,0.44854602
13,1,2.25772858,0.55835694
14,1,2.24974823,0.70611125
15,1,2.23291016,0.68141317
16,1,2.19953918,0.70743418
17,1,2.13625336,0.76991183
18,1,2.23049164,2.44947219
19,1,2.15776825,1.03629327
20,1,2.18386841,2.41161013
21,1,2.20684814,2.79468513
22,1,2.18455505,1.66628897
23,1,2.08760071,1.95897293
24,1,2.17680359,1.86489046
25,1,2.13113785,2.52566719
26,1,2.06592560,1.62684774
27,1,2.25737762,4.52467012
28,1,2.16641998,1.48902059
29,1,2.06427383,2.04773188
30,1,2.08854675,1.50790536
31,1,2.06708145,2.59834099
32,1,2.10671234,2.38138199
33,1,2.02137756,2.66151905
34,1,2.04520416,1.25504458
35,1,1.99856949,2.74190760
36,1,2.14369965,3.90703702
37,1,2.03697968,2.50080991
38,1,2.03569794,2.84928560
39,1,2.06290817,3.17540956
40,1,1.94740677,2.86958122
41,1,2.08111382,6.53689146
42,1,2.04046249,4.74262524
43,1,2.01280594,2.82824326
44,1,1.99686050,3.62100220
45,1,1.96329880,4.90413237
46,1,1.99702454,1.40771425
47,1,2.11833954,4.71639299
48,1,2.02624130,3.82238603
49,1,1.95320511,3.03214622
50,1,2.02046204,2.47241664
51,1,2.07206345,3.46251583
52,1,2.10220337,5.24173355
53,1,2.05195236,1.69595480
54,1,1.95692825,2.03546953
55,1,2.09989166,4.70808268
56,1,2.07012558,2.96387935
57,1,2.06378174,4.37752533
58,1,2.02399445,1.28627110
59,1,2.10655594,3.94198346
60,1,2.05986404,3.08640480
61,1,1.95571899,2.03790021
62,1,1.99184799,2.03138828
63,1,2.09109497,1.81707644
64,1,2.02641678,1.54820776
65,1,1.99389267,3.37953138
66,1,1.97544098,1.30607426
67,1,2.09423065,1.49175632
68,1,1.97717667,2.86450052
69,1,1.89468002,2.52115607
70,1,2.03553391,1.45152009
71,1,2.02748108,4.25222492
72,1,1.98814774,2.91809964
73,1,2.15009308,4.62996387
74,1,2.02101898,4.82311296
75,1,1.92681885,1.67137206
76,1,1.99494934,1.50513673
77,1,2.00752640,2.38085699
78,1,1.97647095,5.93863344
79,1,1.97636032,3.33257222
80,1,1.88229752,1.51025987
81,1,2.04888153,4.62936258
82,1,1.88162994,4.53402281
83,1,2.01684189,4.68180895
84,1,1.99508667,2.02190590
85,1,1.95523834,3.87159920
86,1,2.09364319,4.75992250
87,1,1.97042847,3.00253940
88,1,1.87611771,2.70196271
89,1,1.93615341,2.82620096
90,1,2.04759598,1.91628516
91,1,1.81604004,1.81967485
92,1,1.94281578,2.59771013
93,1,1.97703934,2.56727791
94,1,1.94160843,1.48913145
95,1,1.95211411,3.38139987
96,1,1.82000732,2.97241592
97,1,1.89143753,5.31293869
98,1,1.91281128,2.84735274
99,1,1.83978271,2.98887038
100,1,1.99478531,2.88916564
101,1,1.86107254,3.31650615
102,1,1.99267960,4.09123421
103,1,1.92542267,4.33692646
104,1,1.90896606,8.66259193
105,1,1.97572708,2.60678196
106,1,1.83999825,3.78706551
107,1,2.04367828,2.47102284
108,1,1.89469910,4.41857147
109,1,1.83705902,2.84497452
110,1,1.84933472,4.89370441
111,1,1.96859741,4.90186501
112,1,1.86609650,3.35481763
113,1,1.88777924,5.96577644
114,1,1.89784241,4.34008074
115,1,1.89424706,2.64708233
116,1,1.92189026,6.31337929
117,1,1.82455826,7.41785049
118,1,1.87147427,4.73938465
119,1,1.87623978,6.86336946
120,1,2.03875732,8.17157459
121,1,1.96527863,5.49196529
122,1,1.87092209,1.96773720
123,1,1.86682034,5.92719078
124,1,2.01558304,7.79081774
125,1,1.88094902,6.16432428
126,1,1.84167480,1.64863050
127,1,1.92788124,4.81466007
128,1,1.97149658,6.25999498
129,1,2.02752876,4.52454567
130,1,1.90695953,3.00981927
131,1,1.80987358,2.64136004
132,1,1.86597633,4.37207174
133,1,1.91956329,4.76829243
134,1,1.84716415,1.96656668
135,1,1.87753677,2.20689535
136,1,1.93524170,3.34299970
137,1,1.92546082,4.60586262
138,1,1.90382004,5.98033667
139,1,1.89686966,1.76336110
140,1,1.86812401,3.18497157
141,1,1.92390823,5.37933874
142,1,2.00845337,5.97196054
143,1,1.87676239,2.96289182
144,1,1.87287521,9.01692200
145,1,1.88286209,6.38920927
146,1,1.89622498,1.92163110
147,1,1.98401260,6.35722446
148,1,2.01390457,5.30213833
149,1,1.78329468,1.74141514
150,1,1.81749535,2.10028458
151,1,1.92631721,2.01837850
152,1,2.00081635,5.35841417
153,1,1.90858841,2.61848211
