epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.5918226242,0.6068763733,0.0150537491,0.0143879795,0.0006657696,1.9548667669,1954.8667669296
5,0.0020000000,0.5918226242,0.6228932738,0.0310706496,0.0287759590,0.0022946906,4.4142737389,2207.1368694305
5,0.0050000000,0.5918226242,0.6773635149,0.0855408907,0.0719398975,0.0136009932,9.6372070312,1927.4414062500
5,0.0100000000,0.5918226242,0.7909423113,0.1991196871,0.1438797951,0.0552398920,21.0932312012,2109.3231201172
10,0.0010000000,0.4913448393,0.5043470860,0.0130022466,0.0125947323,0.0004075143,1.9220175743,1922.0175743103
10,0.0020000000,0.4913448393,0.5189255476,0.0275807083,0.0251894646,0.0023912437,5.1621742249,2581.0871124268
10,0.0050000000,0.4913448393,0.5767711401,0.0854263008,0.0629736614,0.0224526393,13.7766151428,2755.3230285645
10,0.0100000000,0.4913448393,0.7081969976,0.2168521583,0.1259473228,0.0909048355,27.3249187469,2732.4918746948
15,0.0010000000,0.4470114112,0.4614834189,0.0144720078,0.0145451612,0.0000731535,1.5835521221,1583.5521221161
15,0.0020000000,0.4470114112,0.4765871763,0.0295757651,0.0290903225,0.0004854426,2.5042340755,1252.1170377731
15,0.0050000000,0.4470114112,0.5307358503,0.0837244391,0.0727258062,0.0109986329,10.0578193665,2011.5638732910
15,0.0100000000,0.4470114112,0.6573575735,0.2103461623,0.1454516125,0.0648945498,31.5665645599,3156.6564559937
20,0.0010000000,0.4321908951,0.4431468248,0.0109559298,0.0108268623,0.0001290674,1.4516719580,1451.6719579697
20,0.0020000000,0.4321908951,0.4536641538,0.0214732587,0.0216537247,0.0001804659,2.6722869873,1336.1434936523
20,0.0050000000,0.4321908951,0.4874849319,0.0552940369,0.0541343117,0.0011597252,4.0873136520,817.4627304077
20,0.0100000000,0.4321908951,0.5548996329,0.1227087379,0.1082686234,0.0144401145,7.3991169930,739.9116992950
